Referencia;Peso(Kg/m);d(mm);bf(mm);tw(mm);tf(mm);r(mm);dint(mm);T(mm);A(cm2);Apint(m2/m); Amasa(m2/t);Ixx(cm4);Sx(cm3);Zx(cm3);rx(cm);Av(cm2);Iyy(cm4);Sy(cm3);Zy(cm3);ry(cm);Ss(cm);J(cm4);Cw(cm6)
IPE750x220;220;779;266;16.5;30;20;719;679;280.7;2.555;11.56;279390;7173;8231;31.4;139;9443;710;1114;5.7;9.9;620.5;13190000
IPE750x196;196;770;268;15.6;25.4;20;719;679;250.8;2.546;12.88;241470;6271;7207;30.9;129.7;8177;610.2;960.1;5.6;8.9;416.5;11290000
IPE750x173;173;762;267;14.4;21.6;20;719;679;221.3;2.529;14.49;207010;5433;6251;30.5;118.6;6875;515;811.1;5.5;8.1;278.7;9390000
IPE750x147;147;753;265;13.2;17;20;719;679;187.5;2.505;16.93;167250;4442;5143;29.7;107.3;5291;399.3;632;5.2;7;163.2;7140000
IPE750x134;134;750;264;12;15.5;20;719;679;170.6;2.498;18.55;151890;4050;4678;29.7;97.77;4767;361.2;569.6;5.2;6.6;124.9;6410000
IPEV600;184;618;228;18;28;24;562;514;233.8;2.071;11.28;141580;4581;5324;24.6;124.5;5569;488.5;780.3;4.8;10.2;505.8;4813000
IPEO600;154;610;224;15;24;24;562;514;196.8;2.045;13.24;118300;3878;4471;24.5;104.3;4520;403.6;640;4.7;9.1;316.3;3859000
IPE600;122;600;220;12;19;24;562;514;156;2.015;16.46;92080;3069;3512;24.2;83.78;3387;307.9;485.6;4.6;7.8;165.2;2845000
IPEA600;108;597;220;9.8;17.5;24;562;514;137;2.013;18.71;82910;2777;3141;24.5;70.13;3116;283.2;442;4.7;7.2;122.1;2607000
IPEO550;123;556;212;12.7;20.2;24;515.6;467.6;156.1;1.893;15.45;79150;2847;3263;22.5;82.68;3224;304.1;480.5;4.5;8.1;187.1;2302000
IPE550;106;550;210;11.1;17.2;24;515.6;467.6;134.4;1.877;17.79;67110;2440;2787;22.3;72.34;2667;254;400.5;4.4;7.3;122.8;1884000
IPEA550;92.1;547;210;9;15.7;24;515.6;467.6;117.3;1.875;20.36;59970;2193;2474;22.6;60.29;2432;231.6;361.5;4.5;6.8;89.29;1710000
IPEAA550;79.5;541;210;8.5;12.5;24;515.6;467.6;101.3;1.864;23.44;49550;1831;2078;22.1;55.86;1937;184.5;289.6;4.3;6.1;56.18;1347000
IPEV500;129;514;204;14.2;23;21;468;426;164.1;1.78;13.82;70710;2751;3168;20.7;83.16;3271;320.7;506.6;4.4;8.4;241.5;1961000
IPEO500;107;506;202;12;19;21;468;426;136.7;1.76;16.4;57770;2283;2612;20.5;70.2;2621;259.5;408.5;4.3;7.4;142.7;1547000
IPE500;90.7;500;200;10.2;16;21;468;426;115.5;1.744;19.23;48190;1927;2194;20.4;59.87;2141;214.1;335.8;4.3;6.6;89.09;1249000
IPEA500;79.4;497;200;8.4;14.5;21;468;426;101.1;1.741;21.94;42930;1727;1946;20.6;50.4;1939;193.9;301.6;4.3;6.2;64.28;1125000
IPEAA500;73.2;495.2;200;7.5;13.6;21;468;426;93.3;1.739;23.75;39940;1613;1807;20.6;45.61;1818;181.8;281.7;4.4;5.9;52.86;1051000
IPEV450;107;460;194;12.4;19.6;21;420.8;378.8;132;1.635;15.78;46200;2008;2301;18.7;66.62;2396;247.1;389.1;4.2;7.6;148.8;1156000
IPEO450;92.4;456;192;11;17.6;21;420.8;378.8;117.7;1.622;17.56;40920;1794;2046;18.6;59.4;2085;217.2;340.9;4.2;7;108.9;997500
IPE450;77.6;450;190;9.4;14.6;21;420.8;378.8;98.8;1.605;20.69;33740;1499;1701;18.4;50.84;1675;176.4;276.3;4.1;6.3;66.74;791000
IPEA450;67.2;447;190;7.6;13.1;21;420.8;378.8;85.6;1.603;23.87;29750;1331;1494;18.6;42.26;1502;158.1;245.7;4.1;5.8;47.13;704800
IPEAA450;62.1;445.4;190;6.8;12.3;21;420.8;378.8;79.1;1.601;25.77;27740;1246;1391;18.7;38.4;1410;148.4;229.9;4.2;5.6;39.16;659300
IPEV400;84;408;182;10.6;17.5;21;373;331;107;1.487;17.7;30130;1477;1681;16.7;52.52;1766;194.1;304;4;7;99.58;670300
IPEO400;75.7;404;182;9.7;15.5;21;373;331;96.4;1.481;19.57;26740;1324;1502;16.6;47.98;1564;171.8;269;4;6.5;73.34;587600
IPE400;66.3;400;180;8.6;13.5;21;373;331;84.5;1.467;22.13;23120;1156;1307;16.5;42.69;1317;146.4;229;3.9;6;51.27;490000
IPEA400;57.4;397;180;7;12;21;373;331;73.1;1.464;25.51;20290;1022;1143;16.6;35.77;1170;130;202;4;5.5;36.16;432200
IPEAA400;53.4;395.6;180;6.3;11.3;21;373;331;68;1.463;27.42;19000;960.5;1069;16.7;32.74;1102;122.4;189.7;4;5.3;30.53;405500
IPEO360;66;364;172;9.2;14.7;18;334.6;298.6;84.1;1.367;20.7;19040;1046;1186;15;40.2;1251;145.4;226.9;3.8;5.9;55.74;380200
IPE360;57.1;360;170;8;12.7;18;334.6;298.6;72.7;1.353;23.7;16260;903.6;1019;14.9;35.13;1043;122.7;191;3.7;5.4;37.44;313500
IPEA360;50.2;357.6;170;6.6;11.5;18;334.6;298.6;64;1.351;26.91;14510;811.8;906.7;15;29.76;944.2;111;171.8;3.8;5;27.36;281900
IPEAA360;47;356.4;170;6;10.9;18;334.6;298.6;59.9;1.35;28.7;13670;767.5;853.5;15.1;27.43;894.8;105.2;162.4;3.8;4.8;23.37;266300
IPEO330;57;334;162;8.5;13.5;18;307;271;72.6;1.268;22.24;13910;832.9;942.7;13.8;34.88;960.3;118.5;184.9;3.6;5.6;42.2;245600
IPE330;49.1;330;160;7.5;11.5;18;307;271;62.6;1.254;25.52;11760;713.1;804.3;13.7;30.8;788.1;98.51;153.6;3.5;5.1;28.06;199000
IPEA330;43;327;160;6.5;10;18;307;271;54.7;1.25;29.09;10230;625.7;701.9;13.6;26.98;685.1;85.64;133.2;3.5;4.7;19.63;171500
IPEO300;49.3;304;152;8;12.7;15;278.6;248.6;62.8;1.174;23.8;9994;657.5;743.8;12.6;29.04;745.7;98.12;152.5;3.4;5;30.97;157600
IPE300;42.2;300;150;7.1;10.7;15;278.6;248.6;53.8;1.16;27.46;8356;557;628.3;12.4;25.68;603.7;80.5;125.2;3.3;4.6;19.91;125900
IPEA300;36.5;297;150;6.1;9.2;15;278.6;248.6;46.5;1.156;31.65;7173;483;541.7;12.4;22.24;518.9;69.19;107.3;3.3;4.2;13.34;107100
IPEO270;42.3;274;136;7.5;12.2;15;249.6;219.6;53.8;1.051;24.87;6947;507;574.6;11.3;25.22;513.4;75.51;117.7;3;4.9;24.98;87640
IPE270;36.1;270;135;6.6;10.2;15;249.6;219.6;45.9;1.041;28.86;5789;428.8;483.9;11.2;22.13;419.8;62.2;96.95;3;4.4;15.9;70570
IPEA270;30.7;267;135;5.5;8.7;15;249.6;219.6;39.2;1.037;33.74;4917;368.3;412.4;11.2;18.74;357.9;53.03;82.34;3;4;10.41;59500
IPEO240;34.3;242;122;7;10.8;15;220.4;190.4;43.7;0.932;27.16;4369;361;410.2;9.9;21.35;328.5;53.85;84.39;2.7;4.6;17.09;43670
IPE240;30.7;240;120;6.2;9.8;15;220.4;190.4;39.1;0.922;30.03;3891;324.3;366.6;9.9;19.14;283.6;47.27;73.92;2.6;4.3;12.95;37390
IPEA240;26.2;237;120;5.2;8.3;15;220.4;190.4;33.3;0.918;35.11;3290;277.6;311.5;9.9;16.31;240.1;40.02;62.39;2.6;3.9;8.503;31250
IPEAA240;24.9;236.4;120;4.8;8;15;220.4;190.4;31.7;0.917;36.84;3153;266.8;298.1;9.9;15.29;231.3;38.56;59.98;2.7;3.8;7.608;30040
IPEO220;29.4;222;112;6.6;10.2;12;201.6;177.6;37.4;0.858;29.23;3134;282.3;321.1;9.1;17.66;239.8;42.82;66.9;2.5;4.1;12.16;26780
IPE220;26.2;220;110;5.9;9.2;12;201.6;177.6;33.4;0.848;32.37;2771;251.9;285.4;9.1;15.88;204.8;37.25;58.11;2.4;3.8;9.03;22670
IPEA220;22.2;217;110;5;7.7;12;201.6;177.6;28.3;0.843;38.01;2316;213.5;240.2;9;13.54;171.4;31.16;48.48;2.4;3.4;5.679;18700
IPEAA220;21.2;216.4;110;4.7;7.4;12;201.6;177.6;27;0.843;39.79;2218;205;230;9;12.83;164.7;29.94;46.5;2.4;3.3;5.056;17920
IPEO200;25.1;202;102;6.2;9.5;12;183;159;32;0.779;31.05;2211;218.9;249.4;8.3;15.45;168.8;33.11;51.89;2.2;3.9;9.357;15560
IPE200;22.4;200;100;5.6;8.5;12;183;159;28.5;0.768;34.35;1943;194.3;220.6;8.2;14;142.3;28.47;44.61;2.2;3.6;6.915;12980
IPEA200;18.4;197;100;4.5;7;12;183;159;23.5;0.764;41.47;1591;161.5;181.6;8.2;11.46;117.1;23.43;36.53;2.2;3.2;4.135;10520
IPEAA200;18;196.4;100;4.5;6.7;12;183;159;22.9;0.763;42.5;1533;156.1;175.7;8.1;11.38;112.1;22.43;35.03;2.2;3.1;3.808;10040
IPEO180;21.3;182;92;6;9;9;164;146;27.1;0.705;33.15;1505;165.4;189.1;7.4;12.69;117.2;25.49;39.91;2;3.4;6.647;8739
IPE180;18.8;180;91;5.3;8;9;164;146;23.9;0.698;37.13;1316;146.3;166.4;7.4;11.25;100.8;22.16;34.59;2;3.1;4.726;7431
IPEA180;15.4;177;91;4.3;6.5;9;164;146;19.6;0.694;45.16;1062;120;135.3;7.3;9.196;81.88;17.99;27.96;2;2.7;2.673;5933
IPEAA180;14.9;176.4;91;4.3;6.2;9;164;146;19;0.693;46.39;1020;115.6;130.5;7.3;9.129;78.11;17.16;26.71;2;2.7;2.431;5639
IPE160;15.8;160;82;5;7.4;9;145.2;127.2;20.1;0.623;39.5;869.2;108.6;123.8;6.5;9.657;68.31;16.66;26.09;1.8;3;3.54;3958
IPEA160;12.7;157;82;4;5.9;9;145.2;127.2;16.2;0.619;48.74;689.2;87.8;99.09;6.5;7.801;54.42;13.27;20.69;1.8;2.6;1.934;3094
IPEAA160;12.3;156.4;82;4;5.6;9;145.2;127.2;15.7;0.617;50.1;659;84.28;95.23;6.4;7.735;51.66;12.6;19.68;1.8;2.5;1.749;2925
IPE140;12.9;140;73;4.7;6.9;7;126.2;112.2;16.4;0.551;42.73;541.2;77.31;88.34;5.7;7.642;44.91;12.3;19.24;1.6;2.6;2.399;1981
IPEA140;10.5;137.4;73;3.8;5.6;7;126.2;112.2;13.4;0.547;52.03;434.8;63.29;71.59;5.6;6.213;36.42;9.979;15.52;1.6;2.3;1.338;1576
IPEAA140;10.1;136.6;73;3.8;5.2;7;126.2;112.2;12.8;0.546;54.3;407.4;59.65;67.59;5.6;6.141;33.83;9.268;14.45;1.6;2.2;1.153;1455
IPE120;10.4;120;64;4.4;6.3;7;107.4;93.4;13.2;0.475;45.81;317.7;52.95;60.72;4.9;6.305;27.66;8.646;13.58;1.4;2.5;1.69;889
IPEA120;8.7;117.6;64;3.8;5.1;7;107.4;93.4;11;0.472;54.51;257.3;43.76;49.87;4.8;5.409;22.38;6.996;10.97;1.4;2.2;0.996;705
IPEAA120;8.4;117;64;3.8;4.8;7;107.4;93.4;10.7;0.47;56.24;244.1;41.73;47.61;4.7;5.356;21.07;6.586;10.36;1.4;2.1;0.889;660
IPE100;8.1;100;55;4.1;5.7;7;88.6;74.6;10.3;0.4;49.36;171;34.2;39.4;4;5.084;15.91;5.788;9.145;1.2;2.3;1.157;351
IPEA100;6.9;98;55;3.6;4.7;7;88.6;74.6;8.8;0.397;57.6;141.1;28.8;32.98;4;4.437;13.12;4.771;7.537;1.2;2.1;0.726;283
IPEAA100;6.7;97.6;55;3.6;4.5;7;88.6;74.6;8.6;0.396;58.93;135.8;27.84;31.9;3.9;4.402;12.56;4.569;7.234;1.2;2;0.672;270
IPE80;6;80;46;3.8;5.2;5;69.6;59.6;7.6;0.328;54.67;80.13;20.03;23.21;3.2;3.577;8.489;3.69;5.817;1;2;0.672;117
IPEA80;5;78;46;3.3;4.2;5;69.6;59.6;6.4;0.325;64.94;64.37;16.5;18.97;3.1;3.07;6.852;2.979;4.692;1;1.7;0.392;92
IPEAA80;4.9;78;46;3.2;4.2;5;69.6;59.6;6.3;0.325;65.66;64.09;16.43;18.85;3.1;2.996;6.85;2.978;4.68;1;1.7;0.383;92
HE1000x584;584;1056;314;36;64;30;928;868;743.7;3.244;5.556;1246070;23590;28030;40.9;403.2;33430;2129;3474;6.7;19.9;7153;81240000
HE1000x494;494;1036;309;31;54;30;928;868;629.1;3.194;6.467;1027950;19840;23410;40.4;344.5;26820;1736;2818;6.5;17.4;4395;64010000
HE1000x438;438;1026;305;26.9;49;30;928;868;556;3.167;7.253;909170;17720;20740;40.4;299.9;23350;1531;2462;6.4;16;3181;55290000
HE1000x415;415;1020;304;26;46;30;928;868;528.7;3.152;7.595;853120;16720;19570;40.1;288.5;21700;1428;2297;6.4;15.3;2703;51080000
HE1000x393;393;1016;303;24.4;43.9;30;928;868;500.2;3.144;8.006;807680;15890;18530;40.1;271.2;20490;1352;2167;6.4;14.7;2329;48080000
HE1000M;349;1008;302;21;40;30;928;868;444.2;3.13;8.976;722290;14330;16560;40.3;235;18450;1222;1939;6.4;13.6;1712;43010000
HE1000B;314;1000;300;19;36;30;928;868;400;3.11;9.903;644740;12890;14850;40.1;212.4;16270;1085;1716;6.3;12.6;1267;37630000
HE1000A;272;990;300;16.5;31;30;928;868;346.8;3.095;11.37;553840;11180;12820;39.9;184.5;14000;933.6;1469;6.3;11.3;834.8;32070000
HE1000x249;249;980;300;16.5;26;30;928;868;316.8;3.075;12.36;481070;9817;11340;38.9;180.7;11750;783.6;1244;6;10.3;581.9;26620000
HE1000AA;222;970;300;16;21;30;928;868;282.2;3.056;13.79;406450;8380;9776;37.9;172.1;9500;633.3;1015;5.8;9.3;387;21270000
HE900x466;466;938;312;30;54;30;830;770;593.7;3.012;6.463;814940;17370;20370;37;305.3;27550;1766;2831;6.8;17.3;4230;53400000
HE900x391;391;922;307;25;46;30;830;770;497.7;2.97;7.602;674340;14620;16990;36.8;254.3;22320;1454;2312;6.6;15.2;2596;42550000
HE900M;333;910;302;21;40;30;830;770;423.6;2.934;8.823;570430;12530;14440;36.6;214.4;18450;1221;1928;6.5;13.6;1682;34740000
HE900B;291;900;300;18.5;35;30;830;770;371.3;2.911;9.988;494060;10970;12580;36.4;188.7;15810;1054;1658;6.5;12.3;1150;29460000
HE900A;252;890;300;16;30;30;830;770;320.5;2.896;11.51;422070;9484;10810;36.2;163.3;13540;903.1;1414;6.4;11.1;749;24960000
HE900AA;198;870;300;15;20;30;830;770;252.2;2.858;14.43;301140;6922;7998;34.5;147.2;9041;602.7;957.6;5.9;9;321.8;16250000
HE800x444;444;842;313;30;54;30;734;674;566;2.824;6.356;634470;15070;17630;33.4;276.5;27800;1776;2827;7;17.3;4154;42840000
HE800x373;373;826;308;25;46;30;734;674;474.6;2.782;7.467;523900;12680;14690;33.2;230.3;22520;1462;2311;6.8;15.2;2553;34070000
HE800M;317;814;303;21;40;30;734;674;404.3;2.746;8.653;442590;10870;12480;33;194.2;18620;1229;1930;6.7;13.6;1657;27770000
HE800B;262;800;300;17.5;33;30;734;674;334.2;2.713;10.34;359080;8977;10220;32.7;161.7;14900;993.5;1553;6.6;11.8;958.7;21840000
HE800A;224;790;300;15;28;30;734;674;285.8;2.698;12.02;303440;7682;8699;32.5;138.8;12630;842.5;1312;6.6;10.6;608.6;18290000
HE800AA;172;770;300;14;18;30;734;674;218.5;2.66;15.51;208880;5425;6224;30.9;123.8;8133;542.2;856.5;6.1;8.5;243;11450000
HE700x418;418;744;313;29.5;54;27;636;582;531.9;2.635;6.311;472500;12700;14840;29.8;238.9;27760;1773;2796;7.2;16.9;3961;32840000
HE700x352;352;728;308;25;46;27;636;582;448.6;2.592;7.36;389680;10700;12380;29.4;201.5;22500;1461;2292;7;14.8;2453;26040000
HE700M;301;716;304;21;40;27;636;582;383;2.56;8.514;329270;9197;10530;29.3;169.8;18790;1236;1928;7;13.2;1594;21390000
HE700B;241;700;300;17;32;27;636;582;306.4;2.52;10.48;256880;7339;8327;28.9;137;14440;962.7;1495;6.8;11.2;838.8;16060000
HE700A;204;690;300;14.5;27;27;636;582;260.5;2.505;12.25;215300;6240;7031;28.7;116.9;12170;811.9;1256;6.8;10;521.5;13350000
HE700AA;150;670;300;13;17;27;636;582;190.9;2.468;16.47;142720;4260;4840;27.3;100.3;7673;511.5;799.7;6.3;7.8;186.3;8155000
HE650x407;407;696;314;29.5;54;27;588;534;518.8;2.543;6.244;405420;11650;13610;27.9;224.8;28010;1784;2803;7.3;16.9;3930;28710000
HE650x343;343;680;309;25;46;27;588;534;437.5;2.5;7.279;333710;9815;11350;27.6;189.5;22710;1470;2299;7.2;14.8;2435;22730000
HE650M;293;668;305;21;40;27;588;534;373.7;2.468;8.412;281660;8433;9656;27.4;159.7;18970;1244;1935;7.1;13.2;1584;18640000
HE650B;225;650;300;16;31;27;588;534;286.3;2.422;10.78;210610;6480;7319;27.1;122;13980;932.2;1441;6.9;10.9;749.2;13360000
HE650A;190;640;300;13.5;26;27;588;534;241.6;2.407;12.69;175170;5474;6136;26.9;103.1;11720;781.5;1204;6.9;9.7;457.6;11020000
HE650AA;138;620;300;12.5;16;27;588;534;175.8;2.369;17.17;113940;3675;4159;25.4;90.39;7220;481.3;750.6;6.4;7.6;158.4;6566000
HE600x399;399;648;315;30;54;27;540;486;508.5;2.45;6.138;344640;10630;12450;26;213.6;28280;1795;2813;7.4;16.9;3933;24810000
HE600x337;337;632;310;25.5;46;27;540;486;429.2;2.407;7.145;283160;8960;10380;25.6;180.5;22930;1479;2309;7.3;14.9;2440;19600000
HE600M;285;620;305;21;40;27;540;486;363.7;2.372;8.309;237440;7659;8772;25.5;149.6;18970;1244;1930;7.2;13.2;1569;15900000
HE600B;212;600;300;15.5;30;27;540;486;270;2.323;10.96;171040;5701;6425;25.1;110.8;13530;902;1391;7;10.7;677.1;10960000
HE600A;178;590;300;13;25;27;540;486;226.5;2.308;12.98;141200;4786;5350;24.9;93.2;11270;751.4;1155;7;9.4;406.8;8978000
HE600AA;129;571;300;12;15.5;27;540;486;164.1;2.272;17.64;91870;3217;3623;23.6;81.28;6993;466.2;724.4;6.5;7.4;141.7;5380000
HE550M;278;572;306;21;40;27;492;438;354.4;2.28;8.196;197980;6922;7932;23.6;139.5;19150;1252;1937;7.3;13.2;1558;13510000
HE550B;199;550;300;15;29;27;492;438;254.1;2.224;11.15;136690;4970;5590;23.1;100;13070;871.7;1341;7.1;10.4;610.1;8855000
HE550A;166;540;300;12.5;24;27;492;438;211.8;2.209;13.29;111930;4145;4621;22.9;83.71;10810;721.2;1106;7.1;9.2;360.3;7188000
HE550AA;120;522;300;11.5;15;27;492;438;152.8;2.175;18.13;72870;2792;3127;21.8;72.66;6766;451.1;698.6;6.6;7.3;126.6;4337000
HE500M;270;524;306;21;40;27;444;390;344.3;2.184;8.081;161920;6180;7094;21.6;129.4;19150;1251;1932;7.4;13.2;1544;11180000
HE500B;187;500;300;14.5;28;27;444;390;238.6;2.125;11.34;107170;4287;4814;21.1;89.81;12620;841.5;1291;7.2;10.2;548.1;7017000
HE500A;155;490;300;12;23;27;444;390;197.5;2.11;13.61;86970;3549;3948;20.9;74.71;10360;691.1;1058;7.2;8.9;317.8;5643000
HE500AA;107;472;300;10.5;14;27;444;390;136.9;2.077;19.33;54640;2315;2576;19.9;61.9;6313;420.9;649.2;6.7;7;102.6;3303000
HE450M;263;478;307;21;40;27;398;344;335.4;2.096;7.96;131480;5501;6331;19.7;119.8;19330;1259;1939;7.5;13.2;1534;9251000
HE450B;171;450;300;14;26;27;398;344;218;2.026;11.84;79880;3550;3982;19.1;79.65;11720;781.4;1197;7.3;9.7;447.9;5258000
HE450A;140;440;300;11.5;21;27;398;344;178;2.011;14.39;63720;2896;3215;18.9;65.78;9465;631;965.5;7.2;8.5;250.1;4147000
HE450AA;99.7;425;300;10;13.5;27;398;344;127.1;1.984;19.89;41880;1971;2183;18.1;54.69;6087;405.8;624.3;6.9;6.8;91.39;2571000
HE400M;256;432;307;21;40;27;352;298;325.8;2.004;7.836;104110;4820;5570;17.8;110.1;19330;1259;1934;7.7;13.2;1520;7410000
HE400B;155;400;300;13.5;24;27;352;298;197.8;1.927;12.41;57680;2884;3231;17;69.97;10810;721.2;1104;7.3;9.3;361;3817000
HE400A;125;390;300;11;19;27;352;298;159;1.912;15.32;45060;2311;2561;16.8;57.32;8563;570.9;872.8;7.3;8;193.1;2942000
HE400AA;92.4;378;300;9.5;13;27;352;298;117.7;1.891;20.47;31250;1653;1824;16.2;47.95;5861;390.7;599.6;7;6.7;81.31;1948000
HE360M;250;395;308;21;40;27;315;261;318.8;1.934;7.728;84860;4297;4989;16.3;102.4;19520;1267;1942;7.8;13.2;1512;6137000
HE360B;142;360;300;12.5;22.5;27;315;261;180.6;1.849;13.04;43190;2399;2682;15.4;60.59;10140;676;1032;7.4;8.9;298.3;2883000
HE360A;112;350;300;10;17.5;27;315;261;142.8;1.834;16.37;33080;1890;2088;15.2;48.95;7886;525.7;802.2;7.4;7.6;153.3;2176000
HE360AA;83.7;339;300;9;12;27;315;261;106.6;1.814;21.68;23030;1359;1495;14.7;42.16;5410;360.6;552.9;7.1;6.4;67.13;1443000
HE340M;248;377;309;21;40;27;297;243;315.8;1.902;7.672;76370;4051;4717;15.5;98.62;19710;1275;1952;7.8;13.2;1511;5584000
HE340B;134;340;300;12;21.5;27;297;243;170.9;1.81;13.49;36650;2156;2408;14.6;56.08;9689;645.9;985.7;7.5;8.6;262.8;2453000
HE340A;105;330;300;9.5;16.5;27;297;243;133.5;1.795;17.13;27690;1678;1850;14.4;44.95;7435;495.7;755.9;7.4;7.4;131.4;1824000
HE340AA;78.9;320;300;8.5;11.5;27;297;243;100.5;1.777;22.52;19550;1222;1340;13.9;38.69;5184;345.6;529.2;7.1;6.3;60.01;1231000
HE320M;245;359;309;21;40;27;279;225;312;1.866;7.618;68130;3795;4435;14.7;94.84;19700;1275;1950;7.9;13.2;1506;5003000
HE320C;186;340;305;16;30.5;27;279;225;236.9;1.822;9.795;48710;2865;3274;14.3;72.24;14440;947.2;1445;7.8;10.8;688;3453000
HE320B;127;320;300;11.5;20.5;27;279;225;161.3;1.771;13.98;30820;1926;2149;13.8;51.77;9238;615.9;939;7.5;8.4;230.4;2068000
HE320A;97.6;310;300;9;15.5;27;279;225;124.4;1.756;17.99;22920;1479;1628;13.5;41.13;6985;465.6;709.7;7.4;7.1;111.8;1512000
HE320AA;74.2;301;300;8;11;27;279;225;94.6;1.74;23.44;16440;1092;1196;13.1;35.39;4959;330.6;505.7;7.2;6.1;53.58;1040000
HE300M;238;340;310;21;39;27;262;208;303.1;1.832;7.7;59200;3482;4077;13.9;90.52;19400;1251;1913;8;13;1410;4386000
HE300C;177;320;305;16;29;27;262;208;225.1;1.782;10.09;40950;2559;2926;13.4;68.47;13730;900.7;1374;7.8;10.5;604;2903000
HE300B;117;300;300;11;19;27;262;208;149.1;1.732;14.8;25160;1677;1868;12.9;47.42;8562;570.8;870.1;7.5;8;189.1;1687000
HE300A;88.3;290;300;8.5;14;27;262;208;112.5;1.717;19.44;18260;1259;1383;12.7;37.27;6309;420.6;641.1;7.4;6.8;87.76;1199000
HE300AA;69.8;283;300;7.5;10.5;27;262;208;88.9;1.705;24.43;13800;975.5;1065;12.4;32.36;4733;315.5;482.3;7.2;6;47.8;877100
HE280M;189;310;288;18.5;33;24;244;196;240.2;1.694;8.985;39540;2551;2965;12.8;72.02;13160;914;1396;7.4;11.2;807.2;2520000
HE280C;145;295;284;14.5;25.5;24;244;196;185.2;1.656;11.39;28800;1953;2225;12.4;56.26;9750;686.6;1047;7.2;9.3;384.8;1767000
HE280B;103;280;280;10.5;18;24;244;196;131.4;1.618;15.69;19270;1376;1534;12.1;41.09;6594;471;717.5;7;7.4;146;1130000
HE280A;76.4;270;280;8;13;24;244;196;97.3;1.603;20.99;13670;1012;1112;11.8;31.74;4762;340.1;518.1;6.9;6.2;63.45;785300
HE280AA;61.2;264;280;7;10;24;244;196;78;1.593;26.01;10550;799.8;873;11.6;27.52;3664;261.7;399.3;6.8;5.5;35.49;590100
HE260M;172;290;268;18;32.5;24;225;177;219.6;1.575;9.135;31300;2159;2523;11.9;66.89;10440;779.7;1192;6.8;11.1;720.1;1728000
HE260C;132;275;264;14;25;24;225;177;168.4;1.537;11.62;22590;1642;1880;11.5;51.94;7680;581.8;888.3;6.7;9.2;339.5;1197000
HE260B;93;260;260;10;17.5;24;225;177;118.4;1.499;16.12;14910;1147;1282;11.2;37.59;5134;394.9;602.2;6.5;7.3;126.6;753600
HE260A;68.2;250;260;7.5;12.5;24;225;177;86.8;1.484;21.77;10450;836.3;919.7;10.9;28.75;3667;282.1;430.1;6.4;6;54.19;516300
HE260AA;54.1;244;260;6.5;9.5;24;225;177;69;1.474;27.23;7980;654.1;714.4;10.7;24.74;2788;214.4;327.7;6.3;5.3;30.09;382500
HE240M;157;270;248;18;32;21;206;164;199.6;1.46;9.319;24280;1799;2116;11;60.06;8152;657.4;1005;6.3;10.6;626;1151000
HE240C;119;255;244;14;24.5;21;206;164;152.2;1.422;11.9;17320;1358;1563;10.6;46.34;5942;487;743.8;6.2;8.7;289.4;787800
HE240B;83.2;240;240;10;17;21;206;164;106;1.384;16.63;11250;938.2;1053;10.3;33.22;3922;326.8;498.4;6;6.8;103.8;486900
HE240A;60.3;230;240;7.5;12;21;206;164;76.8;1.369;22.7;7763;675;744.6;10;25.17;2768;230.7;351.6;6;5.6;42.14;328400
HE240AA;47.4;224;240;6.5;9;21;206;164;60.4;1.359;28.67;5835;520.9;570.5;9.8;21.54;2077;173;264.3;5.8;4.9;22.14;239600
HE220M;117;240;226;15.5;26;18;188;152;149.4;1.322;11.27;14600;1217;1419;9.8;45.31;5012;443.5;678.5;5.7;8.8;313;572600
HE220C;94.1;230;223;12.5;21;18;188;152;119.9;1.296;13.76;11170;972.1;1114;9.6;36.46;3887;348.6;532.3;5.6;7.5;167.8;423800
HE220B;71.5;220;220;9.5;16;18;188;152;91;1.27;17.77;8090;735.5;827;9.4;27.92;2843;258.4;393.8;5.5;6.2;77.02;295400
HE220A;50.5;210;220;7;11;18;188;152;64.3;1.255;24.85;5409;515.2;568.4;9.1;20.67;1954;177.6;270.5;5.5;5;28.61;193200
HE220AA;40.4;205;220;6;8.5;18;188;152;51.5;1.247;30.87;4170;406.8;445.4;9;17.63;1510;137.3;209.3;5.4;4.4;15.54;145600
HE200M;103;220;206;15;25;18;170;134;131.3;1.203;11.67;10640;967.4;1135;9;41.03;3651;354.4;543.2;5.2;8.6;257.5;346200
HE200C;81.9;210;203;12;20;18;170;134;104.4;1.177;14.36;8029;764.7;880.6;8.7;32.78;2794;275.2;420.9;5.1;7.3;134.7;251600
HE200B;61.3;200;200;9;15;18;170;134;78.1;1.151;18.78;5696;569.6;642.5;8.5;24.83;2003;200.3;305.8;5;6;59.7;171100
HE200A;42.3;190;200;6.5;10;18;170;134;53.8;1.136;26.88;3692;388.6;429.4;8.2;18.08;1335;133.5;203.8;4.9;4.7;21.04;108000
HE200AA;34.6;186;200;5.5;8;18;170;134;44.1;1.13;32.62;2944;316.5;347;8.1;15.45;1068;106.8;163.1;4.9;4.2;12.52;84490
HE180M;88.9;200;186;14.5;24;15;152;122;113.3;1.089;12.25;7483;748.3;883.4;8.1;34.65;2580;277.4;425.1;4.7;8;201.1;199300
